# Q-01 人手判定の恒久記録 — 標本 seed 20260826 / 語彙 vocab_decisions v1.1.0 + F-06b 名詞ガード(採用597)
# 判定日 2026-08-25 / 判定者 人間 / 偽陽性 2/100 = 2%
# 判定 1 の行: 10 ごんごん(ごんごんごま=独楽の名)/ 65 パンパン(パンパンガール)
# いずれも複合語の内部から切り出した断片(モード B)。外来語(モード A)は 0 件で、
# F-06b 名詞ガードが効いたことを示す
# このファイルは測定の証拠であり、再生成で上書きしてはならない(HC-005)
surface	pos	is_false_positive	context
みしみし	副詞		き始めたのは、蓉子のねている室の次の間でみしみしいう音をきいた時だ。強盗だな！　と近頃の
ぶよぶよ	副詞		一家の締をしている、四十六七になった、ぶよぶよ肥りの上さんと、一日小まめに体を動かしづ
グラグラ	副詞		カリと腰をかけると、酔眼朦朧とした身体をグラグラさせながら、いろんな事を尋ねては帳面につ
ガタガタ	副詞		私は体がガタガタ震えて、もう、ものが云えなかった。
ころころ	副詞		子に、留吉の帽子が留吉の頭から飛去って、ころころと転ってゆきました。こいつは大変だと思っ
ぼりぼり	副詞		ノミが跳び、やぶれからむき出した皮膚にはぼりぼり引っかいた爪あとに血がにじみ、いちめんの
パンパン	副詞	1	に於て、タイハイしているのは善人どもだ。パンパンガールよりも日本の役人の性格、善人の性格
くんくん	副詞		た。犬は肉屋の注意を引くように、ときどきくんくん鼻をならしてはこっちを見ます。そのうちに
ごろり	副詞		「日本では誰が豪いのかな」平一郎はごろり横になって肘枕をして心の中で「誰がいるも
ぶらり	副詞		ら、桜田門外、奉行官邸の塀を乗りこえて、ぶらりはいってくるのも、先生一流のやり方で、べ
もじもじ	副詞		母さんが笑い顔をしたときの声である。健はもじもじした。太郎のお母さんがふりかえって、「さ
とんとん	副詞		伝六様がおおいばりなんだからね、そんなにとんとん足音をさせりゃ聞こえるじゃござんせんか。
グズグズ	副詞		て来ようというのであった。そのためには、グズグズしてると不純な分子藤原のごとき、小倉、波
ゾロゾロ	副詞		と言って役人と手先とは、ゾロゾロと帰ってしまいました。
おずおず	副詞		尻込みをしながらそれでも怖いもの見たさでおずおずと覗きこんだ。
みりみり	副詞		暴風雨はなかなかやみそうにもない。みりみりと、梁や柱がさけぶのだった。戸は、二枚三
ザワザワ	副詞		かに描くということができません。ガヤガヤザワザワとおしゃべりはするし、中には歌をうたい出
キリキリ	名詞		と、スッ――と上へ持ち上げ、徐々にキリキリと巻きほぐす。と、読み出したものである。
ばらばら	形状詞		ら、二人とも降りていらっしゃい。その辺をばらばらにしていると叔父さんに叱られるよ」
ポトポト	副詞		だれると床の上にペタリと坐り込んだ。涙をポトポト落してひれ伏した。
いらいら	名詞		婚っていうことになると、美沢さん、とてもいらいらしてしまっているの。一しょにいても、ちっ
すらすら	副詞		、小僧の答弁はむしろ反感を起させるほどにすらすらと淀みなく出てきた。年齢は十五だと言った
いらいら	名詞		分がいい出すのは厭で、私をせき立てようといらいらして激しい貧乏ゆすりを立てたり、キョロキ
ハハハハ	感動詞		「ハハハハ。シムソン、馬鹿だぞ、貴様は。この卓上電
ちらり	副詞		した。はてな、あの一軒家の戸口を覗くと、ちらりと見えた――や、その艶麗なことと申すもの
カラカラ	形状詞		の画家、彫刻家多数であるが、この店では、カラカラで泡盛を出すので、杯でたのしめるのである
ギリギリ	副詞		口の、ちょうどそこまで陽がさしこんでいるギリギリのところの板の間に、お女郎さんたちが鏡台
すたすた	副詞		、呆気にとられている六やんを残したまま、すたすた自分の家へむかって歩きだした。
パタパタ	副詞		である。ふんわりと揺れはためく裳裾の房がパタパタと鳴る。揺れるカーテンにコスモスの花が咲
ばらばら	形状詞		私は屹度、手足がばらばらに取りはずし出来るようになっており、革鞄
おずおず	副詞		次郎は、おずおずと父のあとに従った。間もなく、二人は二階
むくむく	副詞		ると、ツイ其処に生後まだ一ヵ月も経たぬ、むくむくと肥った、赤ちゃけた狗児が、小指程の尻尾
なみなみ	副詞		、銀製の深い盃で呑めといわれている。ではなみなみとついで、乾盃といこう」
ホクホク	副詞		っ返した。後を見送った薬草道人、機嫌よくホクホク笑ったが、
ごろごろ	副詞		板に水を流したところを、あっちへごろごろ、こっちへごろごろしながら、熱い熱いと、
にやにや	副詞		にいくだかな」作は帰りがけのお島に言ってにやにや笑っていた。
ころり	副詞		じは今まで辛抱していた膝ッこを延ばして、ころりと横になり、
スヤスヤ	副詞		るどころではありません。すぐさま、わざとスヤスヤと小さないびきを聞かせて、薄眼をあけ、じ
すらり	副詞		「洲の股もめでたいな、」とすらりと出る。
ぎらぎら	副詞		丁で、人通りのと絶えたかわいた道の上に、ぎらぎらと六月の日光が照り返していた。信三は深い
じろり	副詞		をいたすことが出来ない。そうすると晋齋はじろりとお若の様子を見て吸かけた煙草もすいませ
ぱちん	副詞		エタアを着て、トレエニングパンツのゴムをぱちんぱちんとお腹にはじきながら、ぶらぶら何遍
